"FLIGHT_KEY","TAIL_NUMBER","FLIGHT_NUMBER","CANCELLED","DIVERTED","ORIGIN_AIRPORT","DESTINATION_AIRPORT","CUSTOMER_ID","THE_YEAR","THE_MONTH","THE_DAY","DB_SOURCE"
"3115","N3BLAA","83","0","0","JFK","BOS","103","2017","1","1","FLIGHT_2017"
"489","N3BUAA","178","0","0","JFK","BOS","109","2017","1","1","FLIGHT_2017"
"1605","N815AW","1723","0","0","JFK","CLT","109","2017","1","1","FLIGHT_2017"
"116","N3DAAA","1096","1","0","JFK","BOS","107","2017","1","1","FLIGHT_2017"
"2292","N3CDAA","330","0","0","JFK","CLT","100","2017","1","1","FLIGHT_2017"
"2368","N3JLAA","67","0","0","JFK","AUS","10","2017","1","1","FLIGHT_2017"
"3685","N960AT","2668","0","0","JFK","BOS","100","2018","1","29","FLIGHT_2018"
"791","N3HMAA","335","0","0","JFK","CLT","10","2017","1","1","FLIGHT_2017"
"1826","N172US","1970","0","0","JFK","CLT","100","2017","1","1","FLIGHT_2017"
"364","N3FDAA","84","0","0","JFK","BOS","103","2017","1","1","FLIGHT_2017"
"819","N3EYAA","2314","0","0","JFK","BOS","105","2017","1","1","FLIGHT_2017"
"1507","N708UW","1770","0","0","JFK","CLT","102","2017","1","1","FLIGHT_2017"
"1389","N170US","1970","0","0","JFK","CLT","103","2017","1","1","FLIGHT_2017"
"3825","N981AT","2674","0","0","JFK","BOS","104","2018","4","8","FLIGHT_2018"
"606","N3HGAA","1664","0","0","JFK","BOS","103","2017","1","1","FLIGHT_2017"
"2054","N749US","1715","0","0","JFK","CLT","107","2017","1","1","FLIGHT_2017"
"4433","N930AT","2684","0","0","JFK","BOS","103","2018","5","28","FLIGHT_2018"
"1414","N709UW","829","0","0","JFK","CLT","106","2017","1","1","FLIGHT_2017"
"2338","N840AW","2070","0","0","JFK","CLT","102","2017","1","1","FLIGHT_2017"
"384","N3GTAA","193","0","0","JFK","BOS","101","2017","1","1","FLIGHT_2017"
"4269","N607AT","2692","0","0","JFK","BOS","106","2018","6","18","FLIGHT_2018"
"178","N3KUAA","84","0","0","JFK","BOS","10","2017","1","1","FLIGHT_2017"
"708","N3CNAA","199","0","0","JFK","BOS","106","2017","1","1","FLIGHT_2017"
"1927","N536UW","1737","0","0","JFK","CLT","106","2017","1","1","FLIGHT_2017"
"3304","N923US","873","0","0","JFK","CLT","100","2017","1","1","FLIGHT_2017"
"4151","N990AT","2670","0","0","JFK","BOS","107","2018","4","15","FLIGHT_2018"
"4357","N891AT","2675","0","0","JFK","BOS","106","2018","7","9","FLIGHT_2018"
"3996","N944UW","2141","0","0","JFK","BOS","105","2018","4","30","FLIGHT_2018"
"4052","N954AT","2686","0","0","JFK","BOS","106","2018","5","8","FLIGHT_2018"
"393","N3ACAA","2314","0","0","JFK","BOS","10","2017","1","1","FLIGHT_2017"
